Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Modules,Target_Modules,Source_Module,Target_Module
25,98,core/host/include/hdf_service_observer.h,include/core/hdf_object.h,HdfServiceObserverPublishService,HdfObject,functionproto,type,Parameter,1.0,True,399,1265,['kernal_host'],['common'],kernal_host,common
25,96,core/host/include/hdf_service_observer.h,include/core/hdf_device_desc.h,HdfServiceObserverSubscribeService,SubscriberCallback,functionproto,type,Parameter,1.0,True,401,1241,['kernal_host'],['common'],kernal_host,common
58,110,core/manager/src/power_state_token_clnt.c,include/osal/osal_mem.h,PowerStateTokenClntNewInstance,OsalMemCalloc,functionimpl,functionproto,Call,2.0,True,910,1392,['manager'],['osal'],manager,osal
58,110,core/manager/src/power_state_token_clnt.c,include/osal/osal_mem.h,PowerStateTokenClntFreeInstance,OsalMemFree,functionimpl,functionproto,Call,2.0,True,909,1393,['manager'],['osal'],manager,osal
58,110,core/manager/src/power_state_token_clnt.c,include/osal/osal_mem.h,,,file,file,Import,1.0,False,,,['manager'],['osal'],manager,osal
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,HdfHostInfoNewInstance,HdfHostInfo,functionimpl,type,Cast,2.0,True,904,719,['manager'],['manager'],manager,manager
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,HdfHostInfoDelete,HdfHostInfo,functionimpl,type,Cast,2.0,True,902,719,['manager'],['manager'],manager,manager
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,,,file,file,Import,1.0,False,,,['manager'],['manager'],manager,manager
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,HdfHostInfoNewInstance,HdfHostInfo,functionimpl,type,Return,1.0,True,904,719,['manager'],['manager'],manager,manager
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,HdfHostInfoNewInstance,HdfHostInfo,functionimpl,type,Use,1.0,True,904,719,['manager'],['manager'],manager,manager
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,HdfHostInfoNewInstance,HdfHostInfoNewInstance,functionimpl,functionproto,Implement,3.0,True,904,718,['manager'],['manager'],manager,manager
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,HdfHostInfoFreeInstance,HdfHostInfoFreeInstance,functionimpl,functionproto,Implement,3.0,True,903,717,['manager'],['manager'],manager,manager
57,48,core/manager/src/hdf_host_info.c,core/manager/include/hdf_host_info.h,HdfHostInfoDelete,HdfHostInfoDelete,functionimpl,functionproto,Implement,3.0,True,902,716,['manager'],['manager'],manager,manager
